,Tweets
208,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
209,RT @Samrasta20: That's how we tame them. Well done Bharat! Hit them where it hurts and you can watch Azadi ki Amrit Kahaniyan on Netflix 😉…
210,"RT @hazelluvly: Anime lover,Beyonce Rihanna Wizkid Drake and Kanye  fan,Cardi B attitude,I'll pick you up,we Netflix then chill &amp; play Poke…"
211,"While Netflix Goes Broke, Disney Says ""Hold My Beer..."" https://t.co/yBrIPWGaNh"
212,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
213,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
214,"RT @MUENK4RNX: @ch4rv1nqr * /  mt only 🖤
Netflix or dinner : Netflix 
kiss or hug : kiss and hug
baby or daddy  : daddy and baby 
challenge…"
215,RT @_WorldOfPrabhas: #Radheshyam Hindi from may 3rd -Netflix @NetflixIndia  - #Prabhas https://t.co/sHX8h6k9rI
216,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
217,"John Wayne Gacy Tapes #netflix
No recollection of this atrocity"
218,"RT @GauravS39176939: #TheGrayMan
Is A Very Popular Show a Netflix
Please Like @dhanushkraja 
Now India artist is also covered in Hollywood…"
219,#Heartstopper becomes one of Netflix’s most critically-acclaimed shows ever with a score of 100% on @RottenTomatoes. https://t.co/LCYuZm7fnP
220,RT @BBCLauraKT: BREAKING: The government have set up a Cost of Living Working Group to give ordinary people handy money saving tips. So far…
221,I still and forever love this woman no matter what. Inspirational 🤍 https://t.co/KhWm71EO3h
222,RT @Variety: ‘Heartstopper’ Tops Twitter Chart After Netflix Debut https://t.co/8hZIjI2aCV
223,RT @KingJosiah54: When LeBron see Kyrie in the Maldives https://t.co/i2UDKqc5IS
224,"RT @GauravS7707: The first look of #Dhanush in the much-awaited #Netflix film #TheGrayMan, starring Ryan Gosling, Chris Evans, Ana de Armas…"
225,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
226,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
227,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
228,"@aeongiemm Lotta my friends recommended it, it’s cute but very Netflix"
229,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…"
230,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
231,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
232,"RT @netflix: The @Russo_Brothers created an epic, globe-hopping action-packed cinematic extravaganza coming your way July 22! 

The Gray Ma…"
233,I wish I wish I wish I wish for ‘Something Like Summer’ book to be a netflix series
234,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
235,"RT @TheDiamondNFT: 🎊🎁#NFTGiveaway Supermeta+🎁🎊

• 1x Deadmates #NFT ($250)
• 10x Project J WL

Enter
1⃣Follow @supermetaplus_ &amp; Me 
2⃣RT +…"
236,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
237,RT @netflix: This moment of realization in Heartstopper is a crucial reminder that having a few people who love you for who you are is much…
238,@kaiixlh netflix series :) it's not really my type but seems a cute series
239,"RT @KollywoodCinima: 1st look of @dhanushkraja from his @netflix film #TheGrayMan 

#Dhanush #KollywoodCinima https://t.co/oF3dlRG0jL"
240,"RT @FreakingRebels: #RadheShyam Hindi Version Full Movie Will Be Available On NetFlix From May 3rd ❤️

#Prabhas #Adipurush https://t.co/lIn…"
241,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…"
242,"@gibsonbiddle @saeedwkhan Re-enforces my view that the market and analyst reaction was very exagerated. Looking forward to seeing more of your thoughts, but  I don’t view Netflix’s long term prospects any differently than a month ago. You might change that view, headline metrics and market reaction won’t."
243,"i'm watching episode 13 
I knew from the beginning that there was going to be this song but i didn't expect so suddenly!😍😍

unfortunately I couldn't resume the episode because netflix doesn't allow it😮‍💨
#ItaeWonClass #Sweetnight https://t.co/wEvQxYMEvY"
244,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
245,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
246,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
247,"@lollyiess sini kak readyy😸 no vpn yaa

🍥 NETFLIX SHARING 🍥

★  Harian 1P1U
1 hari 2,5k
3 hari 6k
7 hari 1Ok

1 bulan 1p2u 2Ok
1 bulan 1p1u 33k
3 bulan 98k

☑️ full garansi, anti on hold
☑️ legal
☑️ trusted. 76O+ testi cek pinned

wa or dm for order&lt;3 https://t.co/d2He9jOAxT"
248,@melton225 @netflix @Chrishell7 Perv
249,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
250,RT @IGN: Netflix reportedly plans to offer close to 50 games as part of its subscription by the end of the year. https://t.co/mmvdqf39hq ht…
251,"RT @FreakingRebels: #RadheShyam Hindi Version Full Movie Will Be Available On NetFlix From May 3rd ❤️

#Prabhas #Adipurush https://t.co/lIn…"
252,⁦@netflix⁩ should use the concept of NFT-gated websites. https://t.co/OUyb0FDbKl
253,@trulyrick @netflix well someone would need to buy them first!!!
254,RT @elonmusk: @slashdot The woke mind virus is making Netflix unwatchable
255,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
256,"@hodgetwins Cancelled Netflix and signed up for Pureflix. Lol. ""God Is Not Dead"" was a great movie!!"
257,"RT @kwinroselyn: Looking for a boyfriend that loves anime, Pokémon &amp; Netflix👅🍑 https://t.co/8UPeUyqu0n"
258,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
259,"Work, flex, save, sleep, eat, Netflix and chill.

Soft life."
260,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
261,"@jowoshitpost :)))

-🍍 Halo, yang minat aplikasi premium, bisa dm aku yaaa!
💯 trusted since 2020
💌 dm / wa on bio for order
tag. jual spotify netflix youtube viu iqiyi wetv disney+ hotstar hbo https://t.co/DRjnPePnB6"
262,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
263,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
264,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
265,FREE THE NETFLIX SEASONS FROM THEIR PRISON PUT THEM ON YOUTUBE FUCK EVERYTHING
266,i know netflix is punching the air rn bc amazon and jenny have an exclusive deal now
267,@netflix Release the trailer
268,RT @heartuebeam: netflix x nctdream trailer 📺 https://t.co/24JNaCK8O8
269,Netflix is gonna tank does that mean we can finally have the Concepts MST3K song on YouTube again
270,"RT @OverseasTickets: .@CBI5TheBrain Advance bookings open across the kerala &amp; gcc circuit. Worldwide release on may 1st. 

#Mammootty #Mala…"
271,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
272,"@lovingjakee ✨Premium Apps✨

҂ AMAN,LEGAL,TERPERCAYA 100%
҂ GARANSI
҂ Order? DM
҂ WA for fast respon : 
(https://t.co/9loBXqRzwQ)
҂ Testi :
(https://t.co/EueTa0VryJ)

t. jual netflix murah spotify viu we tv
Disney+ iqiyi trusted canva inplan https://t.co/0bvQ0AHx5H"
273,RT @licknord: i present to you the cast of the new lord of the rings franchise i am making thank you netflix for this amazing opportunity h…
274,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
275,@IGN who tf subscribes to netflix for games bru
276,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
277,"RT @smbmanibharathi: #TheGrayMan @dhanushkraja's First Look 

Trailer on Next Weak 

Streaming on Netflix from July 22, 2022. https://t.co/…"
278,"RT @Binged_: Whoa!!

The update all Indians have been waiting for!! 

First look of #Dhanush from #TheGrayMan

@dhanushkraja @NetflixIndia…"
279,"RT @gowri_gal: TOP 10 Movies on @NetflixIndia 🇮🇳 from #TamilNadu (All Languages) 2021

💫 #Dhanush’s #JagameThanthiram - 9th
💫 #Rajinikanth’…"
280,RT @AshleyShyMiller: Y'all remember that documentary on Netflix about the little girl who got adducted by the neighbor and he was fucking t…
281,"RT @Heartstopper_TV: THEY'RE THE MOMENT!!

Heartstopper is now officially certified fresh on rotten tomatoes with 100% critics score, being…"
282,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
283,"RT @MAJTOURE: Netflix: “Stock is down because people are sharing passwords.” 

Also Netflix: https://t.co/C5yMWwqzhT"
284,RT @shelbyverse: so @netflix what about heartstopper pictures for our netflix accounts
285,"RT @DiscussingFilm: The Russo Brothers’ ‘THE GRAY MAN’, starring Chris Evans, Ryan Gosling, Ana de Armas, Dhanush, Jessica Henwick and Rége…"
286,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
287,@PIB_India @NetflixIndia @MIB_India @netflix Brainless babus of @MinOfCultureGoI are basically handing over their own platforms to be used for anti-India and anti-Hindu propaganda.
288,"RT @Dillionharpero1: So what’s good on the 
@Netflix
 now? I need some recommendations and also shout out your 
@hulu
 favs too! Thanks Smi…"
289,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
290,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
291,RT @Ladiesluvjaydee: Netflix &amp; Chill? #Nsfwtwt https://t.co/1K6016dAKB
292,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
293,"New stills from The Gray Man coming on Netflix this July.
It also might be Netflix's most ambitious film yet: a planned franchise starter with a reported budget of $200 million, making it one of the priciest original films in the streaming service's history.

📸PAUL ABELL/NETFLIX https://t.co/1B73NTHmMj"
294,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
295,I just found out that 365 is gonna be back on Netflix this weekend and I’m pumped. Judge me based on my movie taste lol but I liked the first one
296,"RT @FilmUpdates: Netflix’s ‘HEARTSTOPPER’ is now officially certified fresh on Rotten Tomatoes with a score of 100%

(https://t.co/kqgLxR0J…"
297,"RT @FilmUpdates: Netflix’s ‘HEARTSTOPPER’ is now officially certified fresh on Rotten Tomatoes with a score of 100%

(https://t.co/kqgLxR0J…"
298,RT @netflix: This moment of realization in Heartstopper is a crucial reminder that having a few people who love you for who you are is much…
299,RT @rPrequelMemes: The fall of Netflix... https://t.co/FNXg1ppwyV https://t.co/cTu32lUwk0
300,Shit like this is why i cancelled my Netflix account. Anyone who believes this kind of shit is a retard! https://t.co/A3MBYJrkb0
301,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
302,Love Death Robots and Stranger Things both comeback. I'm getting Netflix back next month I guess. https://t.co/ayyKQE9161
303,"RT @allisonperryart: seeing a lot of buzz about Netflix trainee program rejections on the timeline today, so just a reminder:

rejection do…"
304,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
305,"RT @selinasel09: Words cannot even begin to describe how healing, heart wrenching, and beautiful @netflix’s #Heartstopper is. Healing and b…"
306,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
307,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
308,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
309,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
310,"RT @Sammykinz: Hey @paramountplus @IMDbTV @PrimeVideo @netflix @hulu!!! @CBS settled their lawsuit for MacGyver, so if you want a fantastic…"
311,"RT @jayakaran08: #TheGrayMan 
@Russo_Brothers @NetflixFilm @netflix thanks :) @dhanushkraja https://t.co/KPq4axY58U"
312,RT @rPrequelMemes: The fall of Netflix... https://t.co/FNXg1ppwyV https://t.co/cTu32lUwk0
313,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
314,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
315,"RT @bossa_viv: Now that we know that the final show will be recorded for distribution, this is a great chance to make it available to int’l…"
316,RT @diorjunkie613: Russo brothers? This gonna be firr
317,@its_aminaa_ 🕯 we need the third installment and it has to be a slutty netflix film 🕯
318,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
319,"RT @shiyoonk: Hey Twitter! Netflix is still making a lot of amazing fresh, insightful, memorable and quality things in animation - trust me…"
320,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
321,"RT @EW: Directors Joe and Anthony Russo tease their Netflix spy thriller #TheGrayMan, which pits Ryan Gosling against Chris Evans. https://…"
322,"RT @saloon_kada: #TheGrayMan - #Dhanush First Look🔥
 
Music : Henry Jackman🎵
Direction : Russo Brothers💥

Direct Premiere On Netflix @ July…"
323,That's definitely what I was thinking when I saw this. 😂 https://t.co/xm0lnNIFUb
324,@netflix @Chrishell7 the only good movie in your catalog
325,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
326,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
327,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
328,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
329,Just watched “The Perfect Bid” on Netflix… I’ve heard about the guy before and I have to say… he’s smart! And if anyone is mad about that then they clearly have never seen the price is right. The whole point of winning on that show is by memorizing numbers
330,"I started #Heartstopper on Netflix today and shis show is SO CUTE DAMN PLZ
Charlie bby boy ♥ https://t.co/CCKiQ4gyYo"
331,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
332,"RAAAAAAAH I WAS JOKING WHEN I SAID HOW IS THIS APP STILL FREE TAKE MY MONEY NOW…. THATS WHEN TWITTER WAS CARNAGE AND GOOD!!!  TWITTER NOW MOVING LIKE NETFLIX, DUN OUT ERE WITH THESE BOZO SPACES ETC https://t.co/l7PnuAY1pw"
333,"RT @MichKatami: Here is @dhanushkraja first look for #TheGrayMan. The movie will be out on July 22 on Netflix, 17th July in theatres. @AGBO…"
334,"@ohhimu @TheMessiGirl Marvel Netflix series hai

Moonnight se 2× better 😌"
335,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
336,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
337,RT @IAMINUNISON: https://t.co/HaELEgIm0B https://t.co/iXVkpMEVFW
338,"RT @selinasel09: Words cannot even begin to describe how healing, heart wrenching, and beautiful @netflix’s #Heartstopper is. Healing and b…"
339,"RT @IngrahamAngle: Netflix losing subscribers.
CNN+ shuts down.
Disney stock value dropping.
Twitter takeover by Musk.

Just the beginning?"
340,"RT @netflix: Romantic gestures on a sports fields just hit different

📺 Heartstopper 
📽️ To All The Boys... https://t.co/1cskoi77X9"
341,"RT @smbmanibharathi: #TheGrayMan @dhanushkraja's First Look 

Trailer on Next Weak 

Streaming on Netflix from July 22, 2022. https://t.co/…"
342,"@M4K3XHS * /  mt only 🖤
Netflix or dinner : Netflix with u 
kiss or hug : kiss and hug
baby or daddy  : dadby
challenge or up to you : up to you"
343,@VitalikButerin @Trevornoah @TheDailyShow @ronnychieng @NICKIMINAJ @tyhenrymedium @LewisHamilton @SnoopDogg @BarackObama @CNN @MichelleObama @netflix @Beyonce @jamielynnspears @dennisrodman @KimKardashian @ericandre @KevinHart4real @RuPaul @MarvelStudios @willsmith @chrisrock @voguemagazine @CondeNast @SimonCowell @TheEllenShow @theweeknd @elonmusk @Drake @TiffanyHaddish @jadapsmith @davidduchovny @JaredLeto @thecampaignbook @lancereddick @thatdanstevens @Harry_Styles @Cirque @CDS_Group @CirqueJobs @Aquafina @CrossConnection @Justin_Willman @ravensymone @silksonic @octaviaspencer @ChrisEvans @joejonas @SnoopDogg im put my money my mouth my culture my genetic condition my dreams and faith in reality down on the light… that close ass star burning me and you crispy you heard me sun
344,RT @BbHaleem: Who wants to watch an anime movie on Netflix with me? 😇 https://t.co/zVY4BvoKkt
345,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
346,"@mariaga99537204 you can read it here
https://t.co/B7BAZk8Isd"
347,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
348,RT @HailPrabhas: STREAMING ALERT: #RadheShyam (Hindi) Will Be Available On #Netflix From May 3rd!! #Prabhas https://t.co/30KtoUl28e
349,RT @hodgetwins: So is it ok for me to say Only women can get pregnant. Someone tell Netflix https://t.co/y4UveeeHyZ
350,"@aintbig_deal @OTTCINEMAUP Hindi is not available on Amzn, it's rights were sold to Netflix 👍"
351,"My analysis of media rogues: We have the three P’s on one side (Peacock, Prime, Paramount+) pitted against CNN ( even if Paramount owns it), HBO, and Netflix .  
High Five P’s!  #tuesdayvibe https://t.co/sXjc3kJxB4"
352,If anyone has netflix pls dm me
353,"RT @pramitheus: Also, Netflix, release Dhanush's first look. https://t.co/fDDLZDPySO"
354,"RT @netflix: The @Russo_Brothers created an epic, globe-hopping action-packed cinematic extravaganza coming your way July 22! 

The Gray Ma…"
355,"RT @LetsOTT: Netflix India’s new releases for the next two months. 

- RRR (Hindi).
- Beast.
- Gangubhai Kathiawadi.
- Thar.
- Masaba Masab…"
356,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
357,RT @ActorRebelstar: #RadheShyam (Hindi) Will Stream on  #Netflix From May 3rd!! #Prabhas https://t.co/RZxxZJAFTh
358,@jimcramer Is netflix still a buy its only dropped 400 since you said to buy
359,RT @sunwonhaven: what if sunoo will watch netflix series with the members or one of them..... https://t.co/s7U8W83Ava
360,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
361,"RT @MattWagnerComic: GRENDEL--coming this year from Netflix!
#Grendel #Netflix #DarkhorseComics https://t.co/eqWzoObXCv"
362,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
363,"RT @RubinReport: What an insane tweet by Jeff Bezos who owns the propaganda outlet know as Washington Post, as well as Amazon, which sells…"
364,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
365,RT @IGN: Netflix reportedly plans to offer close to 50 games as part of its subscription by the end of the year. https://t.co/mmvdqf39hq ht…
366,netflix does come thru with the documentaries tho ..
367,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
368,"Finally watched that Netflix documentary that everyone was talking about a while back, Abducted in Plain Sight. You people are fascinated by the most disgusting,  fucked up things. I love it. https://t.co/yignV9xoMx"
369,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
370,"RT @vamsikaka: The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan Directed by @Russo_Brothers Releases on Netflix, July 22nd h…"
371,@bubbl3yumm @Gap @NikeNYC @50cent @HBO @PrimeVideo @netflix Thank you ❤️😘
372,RT @violetfirelove: netflix and lick my holes? https://t.co/LCLOMnod36
373,"RT @GauravS39176939: #TheGrayMan
Is A Very Popular Show a Netflix
Please Like @dhanushkraja 
Now India artist is also covered in Hollywood…"
374,"RT @thegoodgodabove: I’ll be honest, we all share one Netflix password in heaven."
375,RT @DrHoenderkamp: Turned on a Netflix cartoon for my 3 year old last week called Rainbow Rangers. Episode about fracking being non environ…
376,"Lmao everyone is saving their Hornyness for Netflix's new release tomorrow ""365 Days :This Day""

#365daysThisDay #netflixandchill"
377,"RT @MrVTweetz: #TheGrayMan is the most expensive film ever made by @netflix.

Production budget of $200 Million 💵 https://t.co/7LlNwqGfk8"
378,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
379,RT @jaymo_ke: With all durexpect let's Netflix and chill.😌
380,"RT @netflix: The fans are ready. Are you? Ozark, the final episodes, streaming this Friday. https://t.co/DVaWE6vrHa"
381,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
382,RT @Samrasta20: That's how we tame them. Well done Bharat! Hit them where it hurts and you can watch Azadi ki Amrit Kahaniyan on Netflix 😉…
383,"RT @jebin_tricks: No Vijay, Ajith, suriya fans supported Dhanush who working on Netflix's biggest project.. just imagine if dhanush is an a…"
384,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
385,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
386,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
387,"RT @VenghaiMohan: International actor @dhanushkraja star ..

The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers ht…"
388,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
389,Sooo late to the #SellingSunset #netflix but since diving into it why am I hooked!!🥴🙃
390,@StanSongKang was she offered another netflix role?
391,RT @stardream61016: Another reason to hate on Netflix https://t.co/Nk6QyfQwpc
392,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
393,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
394,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
395,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
396,RT @aspenjadexx: Wanna Netflix and chill? 😏🤤 https://t.co/cujWYGCWMk
397,RT @ActorRebelstar: #RadheShyam (Hindi) Will Stream on  #Netflix From May 3rd!! #Prabhas https://t.co/RZxxZJAFTh
398,"RT @DfcSalem: 😎🔥  #TheGrayMan
@dhanushkraja
FirstLook Poster 💥💯

@NetflixFilm July 22nd on Netflix @Russo_Brothers

Waiting Early THALAIVAA…"
399,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
400,RT @brnbergeron: netflix do this with the yr cast for season two but make it spanish and let omar rate their pronunciation https://t.co/wz4…
401,"RT @UrsVamsiShekar: Here's The First Look of @dhanushkraja from @NetflixFilm's #TheGrayMan 💥

Directed by @Russo_Brothers,
Releasing on Net…"
402,"RT @CultureCrave: First look at the Russo Bros' #TheGrayMan for Netflix

The film has a $200M budget and the goal is to launch a James Bond…"
403,"RT @TeluguDFansClub: The First Look of @dhanushkraja from #TheGrayMan 🤩🔥.!

From @NetflixFilm July 22nd on Netflix @Russo_Brothers https://…"
404,Suggest me any good movie on Netflix
405,"#RadheShyam (Hindi) Set to Stream on #Netflix from 3rd May. #Prabhas
#Bollywood"
406,RT @netflix: This moment of realization in Heartstopper is a crucial reminder that having a few people who love you for who you are is much…
407,"Netflix won't let me ss anymore 🥺

Now how am I supposed to make easy expressions of life by just stealing kdrama stills? https://t.co/x3NfZkZoqz"
408,"@NomahhTee What's the name of the movie? I love James Bond pls, Is it on Netflix or Showmax?"
409,"RT @SharpwinMadness: ✨Full #Kanthony thread so you don't have to go to netflix as promised✨

#Bridgerton"
410,OFFICIALLY starting my sds rewatch Now i would livetweet/screenshot but netflix hates everyone so . maybe i’ll use manga panels Smile !!!! https://t.co/kxm5rSEgkD
411,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
412,"RT @cheeks4042: Akka : Netflix lo Gangubhai ki English subtitles lev entra

Me : Aithey hindi nerchuko

Also Me : Eroju Meghanas lo  biryan…"
413,RT @morningstarr06: I'm Alone Who Accompanies Me To Watch anime Netflix Or Catch Pokémon 🥺😈 https://t.co/coHNQ1v95B
414,RT @NV507qe: #Dhanush #TheGrayMan #Netflix
415,"RT @NetflixIndia: *Takes a deep breath*
RYAN GOSLING 💥 CHRIS EVANS 💥 ANA DE ARMAS 💥 DHANUSH 💥 REGÉ-JEAN PAGE 💥  
THE GRAY MAN - directed by…"
416,Honestly if Netflix gets any worse I really won’t mind if they crack down on password sharing cause everything I watch now is on Hulu anyway
417,"RT @vickyandbunny: Anyways. Rejected by Netflix. My works are great, and I make beautiful films. Their loss. I am just gonna keep working h…"
418,RT @netflix: Is it April 22 yet? https://t.co/gycROQUuIn
419,RT @rPrequelMemes: The fall of Netflix... https://t.co/FNXg1ppwyV https://t.co/cTu32lUwk0
420,RT @netflix: It’s Ryan Gosling vs. Chris Evans in The Gray Man — FIRST LOOK: https://t.co/YWxFRJW62D
421,@netflix No u mean Freddie Mercury
422,RT @dhanushkraja: The gray man  #TheGrayMan @NetflixFilm July 22nd on Netflix @Russo_Brothers https://t.co/yAXte77C2G
423,"RT @EnockVinoth: Get Ready Kollywood Kids They Are Coming 😎

@dhanushkraja @RyanGosling @ChrisEvans @regejean 

July 22nd 💯 @netflix 🔥 http…"
424,"RT @PopBase: ‘Heartstopper’ is officially one of Netflix’s most critically-acclaimed shows ever, with a perfect score of 100% on Rotten Tom…"
